feature_set,window_size,n_components,clipping_threshold,max_depth,min_samples_leaf,min_samples_split,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,15,125,10.0,1,2,sqrt,19.6894396703785,0.8010508733267852,14.737580617739933,19.999695776055596
A,15,15,125,10.0,1,2,1.0,19.04986071999256,0.8434746801987287,12.166781978178573,18.363782437329952
A,15,15,125,10.0,1,10,sqrt,20.09917831816271,0.8004822769255178,14.805453598203766,20.221932178399477
A,15,15,125,10.0,1,10,1.0,16.282803767404186,0.8454056385051727,12.10285202889163,18.1870824155246
A,15,15,125,10.0,5,2,sqrt,16.98350414824972,0.8114109108146804,14.643950963250514,19.990684557534962
A,15,15,125,10.0,5,2,1.0,13.91801649150411,0.8468774708596115,11.998590510632146,17.919497053111307
A,15,15,125,10.0,5,10,sqrt,16.98350414824972,0.8114109108146804,14.643950963250514,19.990684557534962
A,15,15,125,10.0,5,10,1.0,13.91801649150411,0.8468774708596115,11.998590510632146,17.919497053111307
A,15,15,125,10.0,10,2,sqrt,18.772321389417886,0.8075753434405886,14.755153802002306,20.12916143017407
A,15,15,125,10.0,10,2,1.0,12.24822562245059,0.8486031221924838,11.864238839795563,17.614572152208336
A,15,15,125,10.0,10,10,sqrt,18.772321389417886,0.8075753434405886,14.755153802002306,20.12916143017407
A,15,15,125,10.0,10,10,1.0,12.24822562245059,0.8486031221924838,11.864238839795563,17.614572152208336
A,15,15,125,,1,2,sqrt,43.587331118987606,0.7858190470203367,15.626309771760187,24.070174266743145
A,15,15,125,,1,2,1.0,35.21040027211468,0.8024072516002411,14.008667264504458,22.385401974754842
A,15,15,125,,1,10,sqrt,37.89795668998045,0.7927561928055067,15.064742092805385,22.6409505668914
A,15,15,125,,1,10,1.0,27.53926655481505,0.8104622556791374,13.677673845236967,21.555199745337188
A,15,15,125,,5,2,sqrt,20.858997523089908,0.8043073102099314,14.247268048857222,21.18638133148242
A,15,15,125,,5,2,1.0,21.836450027368024,0.8185963059478756,13.038478027868146,20.339915500053415
A,15,15,125,,5,10,sqrt,20.858997523089908,0.8043073102099314,14.247268048857222,21.18638133148242
A,15,15,125,,5,10,1.0,21.836450027368024,0.8185963059478756,13.038478027868146,20.339915500053415
A,15,15,125,,10,2,sqrt,21.43535257093171,0.8055265589815347,14.403150071237102,20.705379992108654
A,15,15,125,,10,2,1.0,15.524193443267512,0.8294744216438271,12.520064240460313,19.05478034371628
A,15,15,125,,10,10,sqrt,21.43535257093171,0.8055265589815347,14.403150071237102,20.705379992108654
