feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,125,poly,0.1,0.1,scale,3,43.7839686291881,0.8437495299175286,20.419546372412736,26.2169580686289
A,15,10,125,poly,0.1,0.1,0.01,2,167.70681186471157,0.6256810028167072,27.245510014901413,34.66660802756324
A,15,10,125,poly,0.1,0.1,0.01,3,122.15494978018005,0.824297105224417,23.914930441419816,31.556869454607693
A,15,10,125,poly,1.0,0.01,scale,2,170.3228516729037,0.6694344825220824,23.467939873586232,30.82491601263191
A,15,10,125,poly,1.0,0.01,scale,3,32.43170837080364,0.8513044437073084,17.613696380762683,22.4185579786688
A,15,10,125,poly,1.0,0.01,0.01,2,130.17716708772878,0.6522291566348466,24.4046840980449,31.71837865719556
A,15,10,125,poly,1.0,0.01,0.01,3,71.5559838707781,0.8376242312146968,21.44665507322456,27.785092963236945
A,15,10,125,poly,1.0,0.1,scale,2,169.85666398790028,0.6694453560433141,23.468099945553305,30.82181343316968
A,15,10,125,poly,1.0,0.1,0.01,2,130.28129909447512,0.6522137704657291,24.406169706909804,31.7170342059918
A,15,10,125,poly,1.0,0.1,scale,3,32.39824493600664,0.8512987914714666,17.61401911693042,22.41695910461346
A,15,10,125,poly,1.0,0.1,0.01,3,71.57504771117046,0.8376386056866159,21.445335253406054,27.784606704118865
A,15,10,125,poly,10.0,0.01,scale,2,180.4122473930228,0.6716543248860155,23.36670153793542,30.79521295446877
A,15,10,125,poly,10.0,0.01,0.01,2,169.85341714083415,0.6694639949981441,23.467777239668656,30.82402815962422
A,15,10,125,poly,10.0,0.01,scale,3,42.93839060966815,0.8474542207982096,16.679803847888767,21.32499992355797
A,15,10,125,poly,10.0,0.01,0.01,3,32.33055269187595,0.8492739703771004,18.88584546091644,24.09322839681461
A,15,10,125,poly,10.0,0.1,scale,2,180.29466988928425,0.6716818824368775,23.368323517137856,30.7957855351088
A,15,10,125,poly,10.0,0.1,0.01,2,169.9241741505421,0.6694448163704058,23.468568286364647,30.82300175489994
A,15,10,125,poly,10.0,0.1,scale,3,42.92647034180432,0.8474268011610409,16.680148730923076,21.325635999505582
A,15,10,125,poly,10.0,0.1,0.01,3,32.425720263706026,0.8492684931414309,18.885033004307893,24.09044125532137
A,15,10,130,rbf,0.1,0.01,scale,2,10.74651289664884,0.842010259976717,12.782829695649871,18.08449701669584
A,15,10,130,rbf,0.1,0.01,scale,3,10.74651289664884,0.842010259976717,12.782829695649871,18.08449701669584
A,15,10,130,rbf,0.1,0.01,0.01,2,9.280923312707122,0.8515281371680533,12.21236296818827,17.412989327595042
A,15,10,130,rbf,0.1,0.01,0.01,3,9.280923312707122,0.8515281371680533,12.21236296818827,17.412989327595042
A,15,10,130,rbf,0.1,0.1,scale,2,10.750137233159563,0.8420098261368324,12.781241951982812,18.08423973112536
A,15,10,130,rbf,0.1,0.1,scale,3,10.750137233159563,0.8420098261368324,12.781241951982812,18.08423973112536
A,15,10,130,rbf,0.1,0.1,0.01,2,9.28201392635932,0.8514913537211066,12.213158505033537,17.41393217607681
A,15,10,130,rbf,0.1,0.1,0.01,3,9.28201392635932,0.8514913537211066,12.213158505033537,17.41393217607681
A,15,10,130,rbf,1.0,0.01,scale,2,9.246280568719694,0.8593327155795609,10.422407735074025,16.187549454228137
A,15,10,130,rbf,1.0,0.01,scale,3,9.246280568719694,0.8593327155795609,10.422407735074025,16.187549454228137
A,15,10,130,rbf,1.0,0.01,0.01,2,8.624957920065551,0.8618329664083051,10.771087906244384,16.348535244904372
A,15,10,130,rbf,1.0,0.01,0.01,3,8.624957920065551,0.8618329664083051,10.771087906244384,16.348535244904372
A,15,10,130,rbf,1.0,0.1,scale,2,9.243840619203638,0.8592877190978525,10.423748345275488,16.187786257985998
A,15,10,130,rbf,1.0,0.1,scale,3,9.243840619203638,0.8592877190978525,10.423748345275488,16.187786257985998
A,15,10,130,rbf,1.0,0.1,0.01,2,8.63019371022185,0.8617973641678358,10.771443756574888,16.350605882151115
A,15,10,130,rbf,1.0,0.1,0.01,3,8.63019371022185,0.8617973641678358,10.771443756574888,16.350605882151115
A,15,10,130,rbf,10.0,0.01,scale,2,10.086203156835172,0.8603963873554215,10.062085738633655,16.21396812098404
A,15,10,130,rbf,10.0,0.01,0.01,2,8.72100594930625,0.8643354841097542,10.309572008717588,16.095957615487958
A,15,10,130,rbf,10.0,0.01,scale,3,10.086203156835172,0.8603963873554215,10.062085738633655,16.21396812098404
A,15,10,130,rbf,10.0,0.01,0.01,3,8.72100594930625,0.8643354841097542,10.309572008717588,16.095957615487958
