feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,130,log,0.1,0.5,1.0,6.798783560572329,0.8551611409625091,14.464168274622562,20.22704290352994
A,15,10,130,log,0.5,0.0,0.0,6.4397303077350525,0.854758073614992,12.7269936840891,18.47865877760208
A,15,10,130,log,0.5,0.0,0.5,6.4397303077350525,0.854758073614992,12.7269936840891,18.47865877760208
A,15,10,130,log,0.5,0.0,1.0,6.4397303077350525,0.854758073614992,12.7269936840891,18.47865877760208
A,15,10,130,log,0.5,0.1,0.0,12.201562204399115,0.8583704146085152,18.757040216568072,25.404124499769324
A,15,10,130,log,0.5,0.1,0.5,9.008690909114803,0.8568086197302046,16.289008201674918,22.66589408414152
A,15,10,130,log,0.5,0.1,1.0,6.985716337778664,0.8543457806148599,14.265283382158515,20.194067325228335
A,15,10,130,log,0.5,0.5,0.0,105.53214086350651,0.8594627525504117,43.557931776977924,49.59607552995526
A,15,10,130,log,0.5,0.5,0.5,53.92543191249498,0.8542489739814669,34.80181353748661,41.349145768563595
A,15,10,130,log,0.5,0.5,1.0,18.630610364489463,0.8353401693280909,22.318274155393276,29.563969552646608
A,15,10,130,log,1.0,0.0,0.0,6.487448635695048,0.8545963309405463,12.725494701571465,18.51120526490435
A,15,10,130,log,1.0,0.0,0.5,6.487448635695048,0.8545963309405463,12.725494701571465,18.51120526490435
A,15,10,130,log,1.0,0.0,1.0,6.487448635695048,0.8545963309405463,12.725494701571465,18.51120526490435
A,15,10,130,log,1.0,0.1,0.0,25.540163947113797,0.8588280331059407,26.061541854423428,32.84476095206209
A,15,10,130,log,1.0,0.1,1.0,8.50703607024996,0.850981119277588,16.071504049225574,22.353188517178115
A,15,10,130,log,1.0,0.1,0.5,15.192460468592808,0.8566011307822725,20.798030856259096,27.615068584107224
A,15,10,130,log,1.0,0.5,0.0,314.12148854083205,0.8593625999267387,57.328536013510984,63.318949561234014
A,15,10,130,log,1.0,0.5,0.5,170.2991483344819,0.8492723753526448,49.12511778412771,55.35111413903296
A,15,10,130,log,1.0,0.5,1.0,45.23774272401734,0.8338931577739253,32.17013725494055,39.15382488177015
A,15,10,130,log,1.5,0.0,0.0,6.505490420396543,0.854551001133698,12.724994949875356,18.52314682363538
A,15,10,130,log,1.5,0.0,0.5,6.505490420396543,0.854551001133698,12.724994949875356,18.52314682363538
A,15,10,130,log,1.5,0.0,1.0,6.505490420396543,0.854551001133698,12.724994949875356,18.52314682363538
A,15,10,130,log,1.5,0.1,0.0,45.12048977854919,0.8588714975039344,32.74292909997597,39.269322139742684
A,15,10,130,log,1.5,0.1,0.5,24.446507561629105,0.8559419445967636,25.54759965213575,32.445642191023474
A,15,10,130,log,1.5,0.1,1.0,10.968353952724703,0.8460003164323956,18.068584269453417,24.736891626923644
A,15,10,130,log,1.5,0.5,0.0,563.9693425363228,0.8592944271649756,64.39302397768945,70.5966856002311
A,15,10,130,log,1.5,0.5,0.5,331.9006499281662,0.84517521960978,57.30795813337509,63.64793054775945
A,15,10,130,log,1.5,0.5,1.0,88.21567736805245,0.8338931577739253,40.88193027206058,47.52980930355384
A,15,15,115,log,0.1,0.0,0.0,4.772574231163208,0.8743826079947379,13.649079584890256,17.399796700311537
A,15,15,115,log,0.1,0.0,0.5,4.772574231163208,0.8743826079947379,13.649079584890256,17.399796700311537
A,15,15,115,log,0.1,0.0,1.0,4.772574231163208,0.8743826079947379,13.649079584890256,17.399796700311537
A,15,15,115,log,0.1,0.1,0.0,5.13789493270839,0.8748947502141279,14.440841292201984,18.57967936125943
A,15,15,115,log,0.1,0.1,1.0,4.8119117417161,0.8738706295806546,13.917285062924321,17.730171181262385
A,15,15,115,log,0.1,0.1,0.5,4.936368172326788,0.8744244978061602,14.156356912199877,18.127488711385915
A,15,15,115,log,0.1,0.5,0.0,10.172790226560405,0.875587703608517,19.86371076167034,25.150628423833375
A,15,15,115,log,0.1,0.5,0.5,7.212823026564908,0.8742616895428832,17.138023550010594,22.045758478164935
A,15,15,115,log,0.1,0.5,1.0,5.328495108407969,0.8718731271693028,15.065144538214085,19.25745843557498
A,15,15,115,log,0.5,0.0,0.0,4.95864844032301,0.8734990410383769,13.714144773321497,17.570413403622716
A,15,15,115,log,0.5,0.0,0.5,4.95864844032301,0.8734990410383769,13.714144773321497,17.570413403622716
A,15,15,115,log,0.5,0.0,1.0,4.95864844032301,0.8734990410383769,13.714144773321497,17.570413403622716
A,15,15,115,log,0.5,0.1,0.0,9.443416717405483,0.8748280704905296,18.99498660189895,24.318443242613533
